文本内容,标签,文本长度
。信用卡业务作为银行业务的重要组成部分之一对银行的盈利能力和市场竞争力具有显著影响据人民银行公布的不同年份中各季度的支付体系运行总体情况显示从2022第三季度至2023年第二季度末信用卡和借贷合一卡发卡量持续下降客户流失成为了银行面临的一大挑战据调查获取新客户的成本普遍高于维持现有客户因此银行迫切需要对预测为潜在流失的客户采取有效措施以降低客户流失率本文基于Kaggle平台2020年11月公布的10127名银行信用卡客户的过往信息数据集构建客户流失预测机器学习模型在数据准备环节本文基于Total＿Trans＿Amt总交易金额Total＿Trans＿Ct交易总数和Total＿Relationship＿Count客户持有的产品数量Months＿on＿book与银行的关系期衍生出Avg＿Trans＿Amt平均交易额度和Customer loyalty客户忠诚度两个新变量并在后续特征选择过程中验证了衍生变量的有效性对于类别型变量和数值型变量分别采用独热编码和决策树分箱方式进行处理对于不平衡数据本文在特征层面采用IV值REFCV和RF算法结合多数投票策略最终选出14个特征含衍生变量在数据层面采用9种重采样方法并在决策树模型和支持向量机模型上验证效果结合加权多数投票策略选出针对本文所研究问题的最佳重采样方法即SmoteENN算法在Stacking模型构建环节通过粒子群优化Particle Swarm OptimizationPSO算法对多种模型进行优化并建立一维卷积神经网络模型Onedimensional Convolutional Neural Network1D＿CNN为后续构建Stacking模型提供了高质量的基学习器避免因模型性能不足而影响整体预测效果针对Stacking算法中基础层算法的选取过程往往未能充分考虑数据特征的特异性导致基学习器之间独立性不足且整体效率偏低等问题提出了一种融合聚类分析的基学习器选取策略并将其应用于信用卡客户流失预测任务首先基于AGNES聚类分析计算备选库模型预测的错误向量间的Jaccard相似性以评估模型预测结果的相似度其次使用轮廓系数自动确定基础层算法的个数并在聚类结果的各簇中分别选取一个基学习器构成基础层算法建立Stacking模型最后采用层次分析Analytic Hierarchy ProcessAHP方法构建综合指标从多维度评估并选取最优的基学习器组合实验结果表明所提算法与孙彤等人提出的算法相比综合指标值提升了042个百分点与张晏等人提出的算法相比综合指标值提升了484个百分点针对现有的数据划分方式可能导致每个子集数据与原数据集分布有较大差异的问题提出了融合聚类分析的数据集抽样策略首先基于KMeans算法将数据集分为不同簇其次从各簇数据中按照73的比例抽取训练集和测试集并对其分别进行合并最后结合基学习器选取策略建立Stacking模型实验结果表明与留出法相比基于聚类抽样构建的Stacking算法在模型拟合效果预测结果稳定性以及模型性能稳定性方面均有提升此外基于数据驱动确定基学习器在构建Stacking模型时的权重提升模型的整体性能在模型应用环节由于本文所建立的最优预测模型是黑盒模型为深入探究其可行性和预测行为本文使用LIME和SHAP方法分别在训练集和测试集进行局部和全局模型可解释性分析得到各特征在训练集和测试集上对预测模型影响的一致性及其预测行为增强模型的透明度和可信度得到如下结论当Total＿Trans＿Ct取值大于375时该特征对所构建的模型预测结果呈负向贡献推动预测结果向现有客户的倾向增强且该特征对预测模型的影响最大当Total＿Revolving＿Bal取值处于05815时该特征对所构建的模型预测结果为正向贡献推动预测结果向流失客户方向发展然而一旦周转余额超出此范围该特征对预测结果的贡献将转向负向即倾向于预测为现有客户当Credit＿Limit取值为3398550615时该特征对所构建的模型预测结果为负向贡献有助于预测客户为现有客户最后基于最优预测模型的客户流失概率和RFM模型判定的客户价值两个维度进行客户流失动态预警划分出8个预警层次本研究为Stacking模型中基学习器的选取提供了新思路并为银行信用卡客户流失预测提供了有效的模型,聚类算法,1769
。信阳市作为豫南农业与生态资源富集区近年来积极推动农业信息化与康养旅游康旅融合发展文章基于近5年信阳农业数字化与康养旅游发展实践分析其融合基础现状与瓶颈提出农业信息化康旅融合创新的策略路径建议通过构建全域数据平台打造智慧康养农园培育复合型人才强化政策协同等策略推动信阳乡村高质量发展,农业信息化,141
。光辐射是核爆炸能量耗散的主要形式对生态环境和人类社会具有深远影响研究其特性传播规律和能量分布可为核爆炸毁伤效应评估与防护提供重要依据引入KolmogorovArnold网络KAN构建了可解释的核爆炸光辐射损伤面积预测模型同时采用多种优化算法反演出核爆炸的源项参数首先基于核爆炸火球理论构建光辐射模型结合ArcGIS Pro软件实现真实地图下光辐射的热能分布并根据生物的烧伤伤情分级标准生成爆炸当量爆炸高度与损伤面积之间的数据集其次利用KAN网络进行数据集预测凭借其独特的可解释性优势获得显式预测公式再次采用门控循环单元极限学习机和随机森林等8种算法对比预测结果评估KAN的性能最后构建核爆炸光辐射模型损失函数通过多种优化算法获得爆炸当量爆炸高度和爆心位置等源项信息本研究实现了对核爆炸光辐射损伤效应的快速预测和精准反演有助于提高应急响应效率并辅助防护决策,智能算法,378
。全球农业正面临劳动力短缺与采摘精准化需求的双重压力传统机械化采摘因视觉系统适应性不足导致果实损伤率显著偏高促使基于机器视觉的智能识别技术快速发展本文系统综述了串果葡萄荔枝等与类球状水果苹果柑橘等识别技术的演进脉络早期传统图像处理方法依赖颜色空间转换HSVLab与形态学特征提取在理想条件下实现8296的检测精度但存在环境鲁棒性差实时性不足等缺陷传统机器学习技术通过SVM随机森林等分类器优化特征权重将精度提升至8895但仍受限于人工特征设计的语义理解瓶颈以YOLOMask RCNN为代表的深度学习方法突破特征工程限制在复杂果园场景下实现9098的检测精度结合轻量化网络MobileNetGhost模块与注意力机制CBAMCA优化后检测速度可达15120 FPS当前相关技术面临数据依赖性强小样本泛化能力不足等挑战未来发展方向将聚焦多模态传感器融合自监督学习与边缘计算优化为实现农业采摘机器人高精度低损耗作业提供技术支撑,机器视觉,411
。全球经济和科技的迅速发展以及国家对煤气资源的合理调度使得煤气天然气等可燃性气体走进了千家万户却也使得煤气泄漏的问题日益突出在使用煤气的过程中操作不当管道老化等问题都会导致煤气的泄漏无色无嗅的一氧化碳是煤气的主要成分一旦泄漏将会造成难以估量的损失轻者引起中毒重者造成火灾危及人们的生命财产安全为了解决这一问题设计了一款小巧轻便的家用煤气检测报警装置该装置采用了传感器接收单片机分析数据并加以控制的思路以基本电气设计原则为根本使用传感器MQ5作为接收信号源获取煤气浓度信息传递给作为控制核心的单片机STC89C52在煤气浓度达到设定值时做出反应对检测报警及显示模块进行综合设计首先画出原理框图根据框图合理使用模块设计出煤气检测与报警系统的电气原理图并进行仿真做出实物实现了对煤气浓度的实时检测显示屏上显示着预设浓度值和当前浓度值当空气中的煤气浓度超过预设值时发出声光警报提醒用户煤气泄漏及时采取相应的措施,单片机应用,401
。全链路数据分析已成为数字营销领域提升转化效率的重要手段随着数据来源的多样化与消费者行为的复杂化传统的单点分析已难以支撑精准决策全链路数据分析通过整合用户触点流量路径与消费行为能够实现从数据采集清洗到建模与预测的闭环优化在这一过程中数据价值不仅体现在对目标人群的精准识别还体现在对转化路径的动态监控与优化调整借助智能化分析工具与实时反馈机制企业能够洞察潜在流失环节及时优化营销策略从而提高用户转化率与投入产出比全链路思维为企业营销提供了系统性路径也为后续的智能化发展奠定了基础,数据分析,238
。全面推进乡村振兴必然要高度重视农业信息技术的推广应用本文系统阐述了张掖市农业信息化发展现状以及农业信息化在乡村振兴中的应用和探索并对农业信息化建设面临的挑战进行研究提出了推进农业信息化建设的措施与建议如加强农业基础设施建设建设高素质信息化人才队伍推进现代农业与信息技术融合发展助推智慧农业信息数据同建共享等以上措施有助于促进张掖市农业农村数字化转型提升农业生产效率和经济效益为乡村振兴背景下农业信息化发展提供一定参考,农业信息化,209
。公用房是高校的固定资产借助管理信息系统进行高校公用房管理可以实现公用房资源的动态优化配置提高资源利用率对保障教学科研活动具有重要作用能推动高校朝信息化智能化管理方向转型基于此文章解析了高校公用房资源优化配置的意义当前高校公用房管理存在的问题提出公用房资源优化配置的策略旨在合理配置管理高校的公用房资产满足其日益增长的办学需求,管理信息系统,163
。共享单车在缓解交通拥堵及促进绿色出行方面做出了一定贡献但在实际运营中会出现因资源分配不均导致服务质量下降的问题而精准预测共享单车需求可优化调度策略提升运营效率和服务质量因此基于长短期记忆神经网络LSTM构建了共享单车需求预测模型主要通过分析环境和时间因素提取数据特征并进行特征工程处理再分别构建LSTM和循环神经网络RNN模型比较其性能实验结果表明LSTM模型在数据拟合方面优于RNN模型展现出较强的预测性能该模型能有效辅助运营商优化车辆调度提升服务质量与用户满意度为共享单车的高效管理提供参考依据,神经网络,250
。典型飞机连接件种类繁多且批量巨大然而不同尺寸外观形状复杂各异位姿摆放无序的飞机连接件识别与分类是实际应用亟待解决的难题针对此类问题提出了基于机器视觉的飞机连接件识别与分类算法首先利用高斯滤波消除图像噪声采用双阈值二值法提取图像边缘过渡带然后建立图像坐标系对飞机连接件图像边缘进行定位将图像分割为4个象限对每个象限中的连接件几何中心进行定位并计算连接件边缘过渡带点的关键参数最后通过容差视觉识别算法划分封闭连接件测量关注区域支持向量机预设值算法和基于第二关注区角点识别算法对连接件进行识别与分类在机器视觉图像处理实验平台上将垫片螺纹卡簧和螺母4种不同类型的飞机连接件作为实验对象对飞机连接件进行检测与识别精度验证在此基础上展示了该算法的求解过程实验结果表明该研究平均检测每幅图片时间为214 s平均分类识别正确率为9502单个零件识别时间为054 s错误识别率仅为498SIFT和Hu算法检测平均分类识别正确率为9029和7242单个零件识别时间为116和134 s2种检测方法识别时间相差062和080 s识别正确率相差48和2265其视觉识别方法可以满足飞机连接件的快速准确识别要求,机器视觉,493
